2010-09-26   SWEDA.ST   2.96
2010-09-26   SEBA.ST   3.00
2010-09-26   SWMA.ST   3.05
2010-09-26   SSABA.ST   3.09
2010-09-26   KNEBV.HE   3.10
2010-09-26   NDA.ST   3.10
2010-09-26   BOL.ST   3.11
2010-10-17   INVEB.ST   1.64
2010-10-17   MSFT.O   1.74
2010-10-17   UPM1V.HE   1.90
2010-10-17   MAERSKB.CO   2.00
2010-10-17   DANSKE.CO   2.04
2010-10-17   ABB.ST   2.05
2010-10-17   ELUXB.ST   2.05
2010-10-17   SCAB.ST   2.05
2010-10-17   OUT1V.HE   2.06
2010-10-17   AMZN.O   2.09
2010-10-17   JM.ST   2.18
2010-10-17   MEO1V.HE   2.19
2010-10-17   FUM1V.HE   2.24
2010-10-17   BP   2.25
2010-10-17   SAMAS.HE   2.25
2010-10-17   MTGB.ST   2.29
2010-10-17   PAR.ST   2.29
2010-10-17   CARLB.CO   2.32
2010-10-17   ATCOA.ST   2.33
2010-10-17   ATCOB.ST   2.33
2010-10-17   HMB.ST   2.33
2010-10-17   LUMISDB.ST   2.33
2010-10-17   VOLVB.ST   2.42
2010-10-17   YHOO.O   2.44
2010-10-17   STERV.HE   2.45
2010-10-17   LUPE.ST   2.47
2010-10-17   SKAB.ST   2.50
2010-10-17   TEL2B.ST   2.54
2010-10-17   VWS.CO   2.57
2010-10-17   GETIB.ST   2.59
2010-10-17   ALFA.ST   2.62
2010-10-17   SAND.ST   2.66
2010-10-17   SKFB.ST   2.66
2010-10-17   SECUB.ST   2.67
2010-10-17   NZYMB.CO   2.71
2010-10-17   AZN.ST   2.74
2010-10-17   NOK1V.HE   2.76
2010-10-17   TLSN.ST   2.76
2010-10-17   NOVOB.CO   2.82
2010-10-17   SHBA.ST   2.84
2010-10-17   ASSAB.ST   2.86
2010-10-17   SWMA.ST   2.91
2010-10-17   ERICB.ST   2.95
2010-10-17   SCVB.ST   2.96
2010-10-17   SEBA.ST   2.96
2010-10-17   NDA.ST   3.03
2010-10-17   SSABA.ST   3.09
2010-10-17   BOL.ST   3.11
2010-10-17   SWEDA.ST   3.12
2010-10-17   KNEBV.HE   3.15
2010-10-17   WRT1V.HE   3.20
2011-01-12   INVEB.ST   1.64
2011-01-12   MSFT.O   1.74
2011-01-12   UPM1V.HE   1.90
2011-01-12   MAERSKB.CO   2.00
2011-01-12   DANSKE.CO   2.04
2011-01-12   ABB.ST   2.05
2011-01-12   ELUXB.ST   2.05
2011-01-12   SCAB.ST   2.05
2011-01-12   OUT1V.HE   2.06
2011-01-12   AMZN.O   2.09
2011-01-12   JM.ST   2.18
2011-01-12   MEO1V.HE   2.19
2011-01-12   FUM1V.HE   2.24
2011-01-12   BP   2.25
2011-01-12   SAMAS.HE   2.25
2011-01-12   MTGB.ST   2.29
2011-01-12   PAR.ST   2.29
2011-01-12   CARLB.CO   2.32
2011-01-12   ATCOA.ST   2.33
2011-01-12   ATCOB.ST   2.33
2011-01-12   HMB.ST   2.33
2011-01-12   LUMISDB.ST   2.33
2011-01-12   VOLVB.ST   2.42
2011-01-12   YHOO.O   2.44
2011-01-12   STERV.HE   2.45
2011-01-12   LUPE.ST   2.47
2011-01-12   SKAB.ST   2.50
2011-01-12   TEL2B.ST   2.54
2011-01-12   VWS.CO   2.57
2011-01-12   GETIB.ST   2.59
2011-01-12   ALFA.ST   2.62
2011-01-12   SAND.ST   2.66
2011-01-12   SKFB.ST   2.66
2011-01-12   SECUB.ST   2.67
2011-01-12   NZYMB.CO   2.71
2011-01-12   AZN.ST   2.74
2011-01-12   NOK1V.HE   2.76
2011-01-12   TLSN.ST   2.76
2011-01-12   NOVOB.CO   2.82
2011-01-12   SHBA.ST   2.84
2011-01-12   ASSAB.ST   2.86
2011-01-12   SWMA.ST   2.91
2011-01-12   ERICB.ST   2.95
2011-01-12   SCVB.ST   2.96
2011-01-12   SEBA.ST   2.96
2011-01-12   NDA.ST   3.03
2011-01-12   SSABA.ST   3.09
2011-01-12   BOL.ST   3.11
2011-01-12   SWEDA.ST   3.12
2011-01-12   KNEBV.HE   3.15
2011-01-12   WRT1V.HE   3.20
2011-01-12   INVEB.ST   1.56
2011-01-12   MSFT.O   1.80
2011-01-12   MAERSKB.CO   1.90
2011-01-12   AMZN.O   1.95
2011-01-12   BETSB.ST   2.00
2011-01-12   JM.ST   2.00
2011-01-12   SCAB.ST   2.00
2011-01-12   BP   2.08
2011-01-12   ABB.ST   2.11
2011-01-12   UPM1V.HE   2.15
2011-01-12   DANSKE.CO   2.17
2011-01-12   VOLVB.ST   2.18
2011-01-12   MTGB.ST   2.19
2011-01-12   ELUXB.ST   2.22
2011-01-12   ATCOA.ST   2.29
2011-01-12   ATCOB.ST   2.29
2011-01-12   MEO1V.HE   2.30
2011-01-12   FUM1V.HE   2.33
2011-01-12   SAMAS.HE   2.42
2011-01-12   SKFB.ST   2.42
2011-01-12   CARLB.CO   2.50
2011-01-12   SWMA.ST   2.50
2011-01-12   STERV.HE   2.53
2011-01-12   YHOO.O   2.53
2011-01-12   TEL2B.ST   2.56
2011-01-12   NOVOB.CO   2.61
2011-01-12   NZYMB.CO   2.62
2011-01-12   SKAB.ST   2.65
2011-01-12   GETIB.ST   2.67
2011-01-12   ERICB.ST   2.69
2011-01-12   LUPE.ST   2.69
2011-01-12   LUMISDB.ST   2.73
2011-01-12   OUT1V.HE   2.75
2011-01-12   ALFA.ST   2.77
2011-01-12   ASSAB.ST   2.77
2011-01-12   NOK1V.HE   2.80
2011-01-12   HMB.ST   2.81
2011-01-12   SAND.ST   2.81
2011-01-12   TLSN.ST   2.88
2011-01-12   VWS.CO   2.89
2011-01-12   SCVB.ST   2.92
2011-01-12   SEBA.ST   2.92
2011-01-12   SHBA.ST   2.92
2011-01-12   KNEBV.HE   2.95
2011-01-12   SWEDA.ST   2.96
2011-01-12   NDA.ST   3.00
2011-01-12   SECUB.ST   3.00
2011-01-12   AZN.ST   3.03
2011-01-12   WRT1V.HE   3.19
2011-01-12   SSABA.ST   3.26
2011-01-12   BOL.ST   3.28
2011-02-12   INVEB.ST   1.60
2011-02-12   MSFT.O   1.82
2011-02-12   SCAB.ST   1.89
2011-02-12   BETSB.ST   2.00
2011-02-12   DANSKE.CO   2.00
2011-02-12   JM.ST   2.00
2011-02-12   MAERSKB.CO   2.00
2011-02-12   MTGB.ST   2.00
2011-02-12   ABB.ST   2.05
2011-02-12   UPM1V.HE   2.05
2011-02-12   BP   2.08
2011-02-12   VOLVB.ST   2.14
2011-02-12   AMZN.O   2.17
2011-02-12   ATCOA.ST   2.21
2011-02-12   ATCOB.ST   2.21
2011-02-12   MEO1V.HE   2.29
2011-02-12   ELUXB.ST   2.30
2011-02-12   FUM1V.HE   2.31
2011-02-12   SKFB.ST   2.34
2011-02-12   CARLB.CO   2.35
2011-02-12   SWEDA.ST   2.41
2011-02-12   SAMAS.HE   2.42
2011-02-12   SWMA.ST   2.43
2011-02-12   GETIB.ST   2.47
2011-02-12   STERV.HE   2.47
2011-02-12   NOVOB.CO   2.50
2011-02-12   NZYMB.CO   2.50
